doi,cr_title,cr_container_title,cr_short_container_title,cr_volume,cr_issue,cr_page,cr_year
10.1021/ja107707v,Biosynthesis of Monomers for Plastics from Renewable Oils,Journal of the American Chemical Society,J. Am. Chem. Soc.,132,43,15451-15455,2010
10.1073/pnas.0914572107,Spontaneous emergence of social influence in online systems,Proceedings of the National Academy of Sciences,Proceedings of the National Academy of Sciences,107,43,18375-18380,2010
10.1073/pnas.1005372107,Large-scale in vivo femtosecond laser neurosurgery screen reveals small-molecule enhancer of regeneration,Proceedings of the National Academy of Sciences,Proceedings of the National Academy of Sciences,107,43,18342-18347,2010
10.1073/pnas.1008734107,Light at night increases body mass by shifting the time of food intake,Proceedings of the National Academy of Sciences,Proceedings of the National Academy of Sciences,107,43,18664-18669,2010
10.1073/pnas.1009911107,Dimerization of a viral SET protein endows its function,Proceedings of the National Academy of Sciences,Proceedings of the National Academy of Sciences,107,43,18433-18438,2010
10.1084/jem.20092296,The innate immune system in host mice targets cells with allogenic mitochondrial DNA,Journal of Experimental Medicine,NA,207,11,2297-2305,2010
10.1371/journal.pbio.1000512,Fission Yeast Cells Undergo Nuclear Division in the Absence of Spindle Microtubules,PLoS Biology,PLoS Biol,8,10,e1000512,2010
10.1103/physrevlett.105.166803,Topological Quantization in Units of the Fine Structure Constant,Physical Review Letters,Phys. Rev. Lett.,105,16,NA,2010
10.1088/1748-9326/5/4/044001,Agricultural net primary production in relation to that liberated by the extinction of Pleistocene mega-herbivores: an estimate of agricultural carrying capacity?,Environmental Research Letters,Environ. Res. Lett.,5,4,044001,2010
10.1056/nejmoa1008433,ARID1AMutations in Endometriosis-Associated Ovarian Carcinomas,New England Journal of Medicine,N Engl J Med,363,16,1532-1543,2010
10.1098/rspb.2010.1750,Spatial and temporal signatures of fragility and threshold proximity in modelled semi-arid vegetation,Proceedings of the Royal Society B: Biological Sciences,Proc. R. Soc. B,278,1708,1064-1071,2010
10.1126/science.1188472,Cell Type-Specific Loss of BDNF Signaling Mimics Optogenetic Control of Cocaine Reward,Science,Science,330,6002,385-390,2010
10.1126/science.1194598,Salmonella Pathogenesis and Processing of Secreted Effectors by Caspase-3,Science,Science,330,6002,390-393,2010
10.1111/j.1467-2979.2010.00387.x,Generic harvest control rules for European fisheries,Fish and Fisheries,NA,12,3,340-351,2010
10.1016/j.anbehav.2010.09.014,"Selective attention to humans in companion dogs, Canis familiaris",Animal Behaviour,Animal Behaviour,80,6,1057-1063,2010
10.1016/j.cub.2010.09.045,Encoding of Motor Skill in the Corticomuscular System of Musicians,Current Biology,Current Biology,20,20,1869-1874,2010
10.1021/ja107419t,A Colorimetric Sensor Array for Detection of Triacetone Triperoxide Vapor,Journal of the American Chemical Society,J. Am. Chem. Soc.,132,44,15519-15521,2010
10.1021/ja107184z,"Two-Way Photoswitching Using One Type of Near-Infrared Light, Upconverting Nanoparticles, and Changing Only the Light Intensity",Journal of the American Chemical Society,J. Am. Chem. Soc.,132,44,15766-15772,2010
10.1111/j.1365-2745.2010.01741.x,Climate is a stronger driver of tree and forest growth rates than soil and disturbance,Journal of Ecology,NA,99,1,254-264,2010
10.1038/nnano.2010.196,Exciton-like trap states limit electron mobility in TiO2 nanotubes,Nature Nanotechnology,Nature Nanotech,5,11,769-772,2010
10.1177/0956797610374738,Idleness Aversion and the Need for Justifiable Busyness,Psychological Science,Psychol Sci,21,7,926-930,2010
10.1177/0956797610376655,The Impact of Culture on Adaptive Versus Maladaptive Self-Reflection,Psychological Science,Psychol Sci,21,8,1150-1157,2010
10.1177/0956797610378686,Eye Movements During Mindless Reading,Psychological Science,Psychol Sci,21,9,1300-1310,2010
10.1111/j.1365-2958.2010.07436.x,A molecular mechanism that stabilizes cooperative secretions in Pseudomonas aeruginosa,Molecular Microbiology,NA,79,1,166-179,2010
10.1103/physrevlett.105.173001,Multiple Packets of Neutral Molecules Revolving for over a Mile,Physical Review Letters,Phys. Rev. Lett.,105,17,NA,2010
10.1073/pnas.1009645107,Engineering of a synthetic electron conduit in living cells,Proceedings of the National Academy of Sciences,Proceedings of the National Academy of Sciences,107,45,19213-19218,2010
10.1002/adma.201002413,Silver Clusters Embedded in Glass as a Perennial High Capacity Optical Recording Medium,Advanced Materials,Adv. Mater.,22,46,5282-5286,2010
10.1371/journal.pbio.1000514,Quiescent Fibroblasts Exhibit High Metabolic Activity,PLoS Biology,PLoS Biol,8,10,e1000514,2010
10.1086/657039,Fishing Indirectly Structures Macroalgal Assemblages by Altering Herbivore Behavior,The American Naturalist,The American Naturalist,176,6,785-801,2010
10.1098/rspb.2010.1734,Why the leopard got its spots: relating pattern development to ecology in felids,Proceedings of the Royal Society B: Biological Sciences,Proc. R. Soc. B.,278,1710,1373-1380,2010
10.1016/j.jesp.2010.10.011,Unfulfilled goals interfere with tasks that require executive functions,Journal of Experimental Social Psychology,Journal of Experimental Social Psychology,47,2,300-311,2010
10.1111/j.1365-294x.2010.04869.x,Monophyletic origin of multiple clonal lineages in an asexual fish (Poecilia formosa),Molecular Ecology,NA,19,23,5204-5215,2010
10.1021/ja107644x,Propulsion of Microobjects by Dynamic Bipolar Self-Regeneration,Journal of the American Chemical Society,J. Am. Chem. Soc.,132,45,15918-15919,2010
10.1021/ja1077365,Infrared Spectroscopy of Extreme Coordination: The Carbonyls of U+and UO2+,Journal of the American Chemical Society,J. Am. Chem. Soc.,132,45,15905-15907,2010
10.1029/2010gl044397,Cryo-hydrologic warming: A potential mechanism for rapid thermal response of ice sheets,Geophysical Research Letters,Geophys. Res. Lett.,37,20,n/a-n/a,2010
10.1029/2010gl044571,Global depletion of groundwater resources,Geophysical Research Letters,Geophys. Res. Lett.,37,20,n/a-n/a,2010
10.1083/jcb.201006052,Neutrophil elastase and myeloperoxidase regulate the formation of neutrophil extracellular traps,Journal of Cell Biology,NA,191,3,677-691,2010
10.1073/pnas.1007973107,Boron-containing organic pigments from a Jurassic red alga,Proceedings of the National Academy of Sciences,Proceedings of the National Academy of Sciences,107,45,19374-19378,2010
10.1073/pnas.1009284107,RNA-dependent control of gene amplification,Proceedings of the National Academy of Sciences,Proceedings of the National Academy of Sciences,107,51,22134-22139,2010
10.1103/physrevlett.105.182701,"New Superheavy Element Isotopes:Pu242(Ca48,5n)128514",Physical Review Letters,Phys. Rev. Lett.,105,18,NA,2010
10.1098/rsbl.2010.0804,Electrical signalling of dominance in a wild population of electric fish,Biology Letters,Biol. Lett.,7,2,197-200,2010
10.1098/rspb.2010.2060,Assassin bug uses aggressive mimicry to lure spider prey,Proceedings of the Royal Society B: Biological Sciences,Proc. R. Soc. B.,278,1710,1427-1433,2010
10.1016/j.cell.2010.09.043,DNA Damage-Mediated Induction of a Chemoresistant Niche,Cell,Cell,143,3,355-366,2010
10.1016/j.ccr.2010.10.002,CD4+ T Cells Contribute to the Remodeling of the Microenvironment Required for Sustained Tumor Regression upon Oncogene Inactivation,Cancer Cell,Cancer Cell,18,5,485-498,2010
10.1002/anie.201004920,The Combined Synthesis and Coloration of Poly(lactic acid),Angewandte Chemie International Edition,Angew. Chem. Int. Ed.,50,1,291-294,2010
10.1105/tpc.109.072181,Inactivation of a DNA Methylation Pathway in Maize Reproductive Organs Results in Apomixis-Like Phenotypes,The Plant Cell,Plant Cell,22,10,3249-3267,2010
10.1016/j.neuroimage.2010.10.076,Color changing photonic crystals detect blast exposure,NeuroImage,NeuroImage,54,NA,S37-S44,2010
10.1038/nnano.2010.209,Ultrasensitive detection and characterization of biomolecules using superchiral fields,Nature Nanotechnology,Nature Nanotech,5,11,783-787,2010
10.1088/0004-6256/140/6/1747,FREE UNSTABLE MODES AND MASSIVE BODIES IN SATURN'S OUTER B RING,The Astronomical Journal,The Astronomical Journal,140,6,1747-1757,2010
10.1371/journal.pbio.1000506,The Honey Bee Epigenomes: Differential Methylation of Brain DNA in Queens and Workers,PLoS Biology,PLoS Biol,8,11,e1000506,2010
10.1371/journal.pbio.1000527,Microglial Interactions with Synapses Are Modulated by Visual Experience,PLoS Biology,PLoS Biol,8,11,e1000527,2010
10.1063/1.3507287,Graphene synthesis by ion implantation,Applied Physics Letters,Appl. Phys. Lett.,97,18,183103,2010
10.1523/jneurosci.3030-10.2010,MicroRNA Loss Enhances Learning and Memory in Mice,Journal of Neuroscience,Journal of Neuroscience,30,44,14835-14842,2010
10.1098/rsbl.2010.0793,"Evidence for viable, non-clonal but fatherless Boa constrictors",Biology Letters,Biol. Lett.,7,2,253-256,2010
10.1021/ja108907x,Total Synthesis of (±) Maoecrystal V,Journal of the American Chemical Society,J. Am. Chem. Soc.,132,47,16745-16746,2010
10.1126/science.1195302,Large-Area Three-Dimensional Molecular Ordering of a Polymer Brush by One-Step Processing,Science,Science,330,6005,808-811,2010
10.1126/science.1191175,Alleviating Cancer Drug Toxicity by Inhibiting a Bacterial Enzyme,Science,Science,330,6005,831-835,2010
10.1371/journal.pgen.1001198,The Complex Genetic Architecture of the Metabolome,PLoS Genetics,PLoS Genet,6,11,e1001198,2010
10.1016/j.cub.2010.10.027,Self-Serving Punishment of a Common Enemy Creates a Public Good in Reef Fishes,Current Biology,Current Biology,20,22,2032-2035,2010
10.1002/smll.201001555,Fluorographene: A Two-Dimensional Counterpart of Teflon,Small,Small,6,24,2877-2884,2010
10.1002/anie.201005911,Crystalline Two-Dimensional DNA-Origami Arrays,Angewandte Chemie International Edition,Angew. Chem. Int. Ed.,50,1,264-267,2010
10.1111/j.1558-5646.2010.01180.x,SINGING FOR YOUR SUPPER: SENTINEL CALLING BY KLEPTOPARASITES CAN MITIGATE THE COST TO VICTIMS,Evolution,NA,65,3,900-906,2010
10.1038/nbt.1704,Suppressing resistance to Bt cotton with sterile insect releases,Nature Biotechnology,Nat Biotechnol,28,12,1304-1307,2010
10.1021/ja1083514,Efficient Visible-Light-Induced Photocatalytic Activity on Gold-Nanoparticle-Supported Layered Titanate,Journal of the American Chemical Society,J. Am. Chem. Soc.,132,47,16762-16764,2010
10.1073/pnas.1014194107,Human tumor virus utilizes exosomes for intercellular communication,Proceedings of the National Academy of Sciences,Proceedings of the National Academy of Sciences,107,47,20370-20375,2010
10.1021/nn102557p,Design of Ice-free Nanostructured Surfaces Based on Repulsion of Impacting Water Droplets,ACS Nano,ACS Nano,4,12,7699-7707,2010
10.1101/gad.1989110,A genome-wide RNAi screen identifies multiple RSK-dependent regulators of cell migration,Genes & Development,Genes & Development,24,23,2654-2665,2010
10.1002/ajpa.21419,A new subclade of mtDNA haplogroup C1 found in icelanders: Evidence of pre-columbian contact?,American Journal of Physical Anthropology,Am. J. Phys. Anthropol.,144,1,92-99,2010
10.1098/rspb.2010.1752,Living with strangers: direct benefits favour non-kin cooperation in a communally nesting bird,Proceedings of the Royal Society B: Biological Sciences,Proc. R. Soc. B.,278,1712,1728-1735,2010
10.1098/rspb.2010.1939,Another one bites the dust: faecal silica levels in large herbivores correlate with high-crowned teeth,Proceedings of the Royal Society B: Biological Sciences,Proc. R. Soc. B.,278,1712,1742-1747,2010
10.1130/g31182.1,Rainforest collapse triggered Carboniferous tetrapod diversification in Euramerica,Geology,NA,38,12,1079-1082,2010
10.1038/nchem.893,Macroscopic self-assembly through molecular recognition,Nature Chemistry,Nature Chem,3,1,34-37,2010
10.1111/j.1558-5646.2010.01190.x,“SAME SAME BUT DIFFERENT”: REPLICATED ECOLOGICAL SPECIATION AT WHITE SANDS,Evolution,NA,65,4,946-960,2010
10.1073/pnas.1010906107,Dental evidence for ontogenetic differences between modern humans and Neanderthals,Proceedings of the National Academy of Sciences,Proceedings of the National Academy of Sciences,107,49,20923-20928,2010
10.1029/2010gl044867,Recent shoaling of the nutricline and thermocline in the western tropical Pacific,Geophysical Research Letters,Geophys. Res. Lett.,37,22,n/a-n/a,2010
10.1002/anie.201004879,Switchable Open-Cage Fullerene for Water Encapsulation,Angewandte Chemie International Edition,Angewandte Chemie International Edition,49,51,9935-9938,2010
10.1088/0004-637x/725/1/134,LIMITING ACCRETION ONTO MASSIVE STARS BY FRAGMENTATION-INDUCED STARVATION,The Astrophysical Journal,ApJ,725,1,134-145,2010
10.1029/2010gl044535,Spectral constraints on the composition of low-albedo slope streaks in the Olympus Mons Aureole,Geophysical Research Letters,Geophys. Res. Lett.,37,22,n/a-n/a,2010
10.1126/scitranslmed.3001522,Identification of Hematopoietic Stem Cell-Specific miRNAs Enables Gene Therapy of Globoid Cell Leukodystrophy,Science Translational Medicine,Science Translational Medicine,2,58,58ra84-58ra84,2010
10.1098/rsbl.2010.0916,Fish mucous cocoons: the ‘mosquito nets’ of the sea,Biology Letters,Biol. Lett.,7,2,292-294,2010
10.1002/adma.201001934,Long-Term Antimicrobial Effect of Silicon Nanowires Decorated with Silver Nanoparticles,Advanced Materials,Adv. Mater.,22,48,5463-5467,2010
10.1126/science.1197410,Structure of the Human Dopamine D3 Receptor in Complex with a D2/D3 Selective Antagonist,Science,Science,330,6007,1091-1095,2010
10.1086/657435,Placentation and Maternal Investment in Mammals,The American Naturalist,The American Naturalist,177,1,86-98,2010
10.1126/science.1194167,Plasticity of Animal Genome Architecture Unmasked by Rapid Evolution of a Pelagic Tunicate,Science,Science,330,6009,1381-1385,2010
10.1038/nsmb.1941,Transcriptional regulation of BRCA1 expression by a metabolic switch,Nature Structural & Molecular Biology,Nat Struct Mol Biol,17,12,1406-1413,2010
10.1038/nm.2252,Conversion of vascular endothelial cells into multipotent stem-like cells,Nature Medicine,Nat Med,16,12,1400-1406,2010
10.1002/adma.201003169,Direction Controlled Driving of Tiny Water Drops on Bioinspired Artificial Spider Silks,Advanced Materials,Adv. Mater.,22,48,5521-5525,2010
10.1084/jem.20101098,Milk sialyllactose influences colitis in mice through selective intestinal bacterial colonization,Journal of Experimental Medicine,NA,207,13,2843-2854,2010
10.1084/jem.20100844,Transient activation of c-MYC expression is critical for efficient platelet generation from human induced pluripotent stem cells,Journal of Experimental Medicine,NA,207,13,2817-2830,2010
10.1002/anie.201005734,"A Modular and Size-Selective Synthesis of [n]Cycloparaphenylenes: A Step toward the Selective Synthesis of [n,n] Single-Walled Carbon Nanotubes",Angewandte Chemie International Edition,Angew. Chem. Int. Ed.,49,52,10202-10205,2010
10.1636/b09-111.1,Ultraviolet light detection: a function of scorpion fluorescence,Journal of Arachnology,Journal of Arachnology,38,3,441-445,2010
10.1073/pnas.1013664107,A proton current drives action potentials in genetically identified sour taste cells,Proceedings of the National Academy of Sciences,Proceedings of the National Academy of Sciences,107,51,22320-22325,2010
10.1098/rsbl.2010.0923,The remarkable squidworm is an example of discoveries that await in deep-pelagic habitats,Biology Letters,Biol. Lett.,7,3,449-453,2010
10.1098/rspb.2010.1917,Networks uncover hidden lexical borrowing in Indo-European language evolution,Proceedings of the Royal Society B: Biological Sciences,Proc. R. Soc. B.,278,1713,1794-1803,2010
